Charter;Name;Owner;Population;Unemployment;GDP;GDP per capita;rrr;Type;Civilization;Race;Capitol;Founded;Independence;Atmosphere stage;Mother colony relations;Xcoord;Ycoord;Sector;Platform;CW size;Mother Colony Charter;Region
piVpTTB9;Redoubt;Dukeofwoodstock;652971;12;2923347303;4477;13;Earthlike;United Earth;Human;1;2021-11-21 00:00:00;2022-01-02 00:00:00;4;123;-99;-864;0/1;android.gplay;0;earth;0
PrVlL6FDFk;Frown;Fenix8267;58654;0;3932241519;67041;1;Lunar;United Earth;Human;1;2023-04-16 00:00:00;2023-04-27 00:00:00;4;123;972;785;73/12;android.gplay;0;pakq70t9Ji;0
PtLXibiY9D;Tondo;lxst;2000002;0;18324289151598856;9162135414;9;Red Planet;United Earth;Human;1;2023-04-09 00:00:00;2023-04-11 00:00:00;4;123;-491;654;0/1;web.apewebapps;1;NUrdW7SznK;0
qAkzq4iG4Q;Elpis;kHz331;99;0;1058525;10692;0;Lunar;United Earth;Human;0;2023-05-09 00:00:00;;0;123;-227;-415;-1/0;ios.appstore;0;bXnFjEsBqi;1
qq066qPFZW;Mobass;seabass13;17358;34;718706829;41405;2;Desert World;Alpha Draconians;Reptilian;1;2023-05-10 00:00:00;2023-05-11 00:00:00;3;123;-871;943;106/-87;web.apewebapps;0;2pnXxRztRW;1
riLAY6hNE1;Huanca;therealchromedino;238123;84;11524122299696;48395671;0;Sugarland;Zolarg Empire;Insectoids;1;2023-03-17 00:00:00;2023-05-03 00:00:00;3;123;803;894;34/-10;web.apeappslauncher;0;6jr8X6ZC;1
rJE4I6gV;arfur foulkesayke;josip0101v;24457367;2;93850516521863150;3837310718;0;Earthlike;United Earth;Human;1;2021-07-13 00:00:00;2021-07-21 00:00:00;4;123;-557;142;0/0;desktop.windows;0;earth;1
RmZMEvv8bs;Kaar;Koulli;6446;7;12770521;1981;0;Red Planet;United Earth;Human;1;2023-05-07 00:00:00;2023-05-11 00:00:00;2;123;536;202;0/0;android.gplay;0;5NQPth1NpX;0
s0wPTjNQDK;Imperium;Antpsi;759842;26;445946523895;586894;0;Earthlike;United Earth;Human;1;2023-05-06 00:00:00;2023-05-12 00:00:00;4;123;606;994;0/0;steam.windows;0;earth;1
sgzyGJhmGK;M.C.R.;Mairbear10;37755;5;675319307;17887;1;Red Planet;United Earth;Human;1;2020-10-06 00:00:00;2020-10-20 00:00:00;4;123;-845;86;1/0;android.gplay;0;earth;0
SHMGzM4XSd;earth online;Cobbster;437752;37;19270342461;44021;2;Earthlike;United Earth;Human;1;2023-02-03 00:00:00;2023-03-09 00:00:00;4;123;19;565;0/0;web.apewebapps;0;earth;0
SJgY2rRnir;WeedStarOne;Drykill76;1200863;0;146630955632;122105;0;Lunar;United Earth;Human;1;2019-09-02 00:00:00;2019-09-12 00:00:00;4;100;-811;-494;0/0;web.apewebapps;0;earth;1
srQ0wrI8hO;WOF;broskir;1084;2;1250417;1154;0;Earthlike;United Earth;Human;0;2023-05-10 00:00:00;;3;123;-455;607;0/0;android.gplay;0;u6IfHcgoDr;0
SUWY88dXad;Desert of Hadramaveth;Eakam1007;489;0;3066681;6271;0;Red Planet;United Earth;Human;0;2023-04-07 00:00:00;;0;123;627;-412;-6/-33;steam.windows;0;21w2BElqWG;1
SXVOfRjX;Terra Nova;therealchromedino;1230194;34;169446407000613600;137739581725;8;Earthlike;United Earth;Human;1;2022-02-28 00:00:00;2022-03-02 00:00:00;4;123;861;280;0/0;web.apeappslauncher;0;earth;0
t4aHNZwntU;REDOUBT/EXILE;Dukeofwoodstock;8118;17;33161787;4085;0;Lunar;United Earth;Human;0;2023-05-07 00:00:00;;3;123;17;-842;0/1;android.gplay;0;piVpTTB9;0
thDgJfNXlN;Dragons Den;ShaDragon16;7036;39;9926458;1411;0;Lunar;United Earth;Human;0;2023-05-01 00:00:00;;2;123;205;-227;0/0;steam.windows;0;earth;0
TMy3eAlZ;New land;JhonBlankchard;146656;9;8664300054;59079;1;Red Planet;United Earth;Human;1;2021-10-04 00:00:00;2021-10-10 00:00:00;4;123;906;96;-1/0;web.apewebapps;0;earth;1
u6IfHcgoDr;UE Region;BJ69137;174565;5;377340344668;2161604;7;Forest World;United Earth;Human;1;2023-04-01 00:00:00;2023-04-12 00:00:00;4;123;-416;636;0/0;web.apewebapps;1;earth;1
uGYy7Vcol3;lets try again;Lkingskullcrush;277206;55;572438563;2065;0;Red Planet;United Earth;Human;1;2023-05-10 00:00:00;1969-12-31 00:00:00;4;123;398;353;0/0;web.apewebapps;0;hz22MAQlHN;1
UjSJ3VP9Bb;luna 9999;Christonetworks;3980;8;8442917;2121;0;Lunar;United Earth;Human;0;2023-05-09 00:00:00;;2;123;813;445;-1/1;windows.windowsstore;0;hz22MAQlHN;0
UKTO7dUVdS;Skytrop;Skyzan;618;0;4728871;7652;0;Earthlike;United Earth;Human;0;2023-05-07 00:00:00;;3;123;-517;-997;0/2;android.gplay;0;PtLXibiY9D;1
vGYd65M4Ly;WeedStarOne;SDK;45872;25;433937124;9460;0;Lunar;United Earth;Human;0;2023-05-07 00:00:00;;4;123;529;204;0/0;web.apewebapps;0;5NQPth1NpX;1
VzHiIPJmaM;Blaps;markcoyle73;38275;68;24046811674;628264;0;Abandoned World;Zolarg Empire;Insectoids;1;2023-04-28 00:00:00;2023-04-30 00:00:00;3;123;365;950;104/-86;steam.windows;0;IAG8biVam6;1
WMBPPjw9di;Joes MegaTown;JohW;210581;32;26513709302;125907;2;Forest World;United Earth;Human;1;2023-04-07 00:00:00;2023-04-15 00:00:00;4;123;-873;526;1/0;steam.windows;0;ZVIJJnS7O1;0
WXuljw6yZB;Nusantara 2000;SangAllasRui;2296;0;3384616;1474;0;Earthlike;United Earth;Human;0;2023-04-26 00:00:00;;3;123;-782;287;0/0;android.gplay;0;Izwpi7A1;1
XCQuGuHjAM;Zarallego Town;heda7326;14227;33;33171525;2332;0;Earthlike;United Earth;Human;1;2023-05-06 00:00:00;2023-05-14 00:00:00;3;123;268;910;0/0;android.gplay;0;krXZDou6Td;0
XLDqM72esz;Yes;ChickenNuggets;180677;38;10889094140;60268;0;Red Planet;United Earth;Human;0;2023-05-06 00:00:00;;4;123;-563;-178;0/1;ios.appstore;0;hz22MAQlHN;0
xyyJsI2u4p;TegridyFarms;ShannonLeigh;50694;0;150224137;2963;0;Earthlike;United Earth;Human;0;2023-04-14 00:00:00;;4;123;-937;353;1/0;windows.windowsstore;0;hz22MAQlHN;1
xzibwdboyA;Pine1;HugoCabret10;108130;8;15618307928;144440;0;Red Planet;United Earth;Human;0;2022-12-10 00:00:00;;4;123;-778;-354;0/1;android.gplay;0;krXZDou6Td;0
Y30bxhJZhj;Exile one;usbrit72;41157;6;1846960554;44876;0;Asteroid;League of Independent States;Human;1;2023-05-06 00:00:00;2023-05-08 00:00:00;3;123;217;177;-1/-2;web.apewebapps;0;lis;0
YKnkq9DFJg;Loonymoon;Tazmuz;16412;38;49785077;3033;0;Lunar;United Earth;Human;0;2023-02-04 00:00:00;;4;123;-822;120;0/0;android.gplay;0;CImFyX3I;0
zcZM0uJQmS;Talvna Defense Council;therealchromedino;5704;0;42300025;7416;0;Red Planet;United Earth;Human;1;2023-05-10 00:00:00;2023-05-11 00:00:00;3;123;-871;-56;1/1;web.apeappslauncher;0;6jr8X6ZC;1
Zv4qqpI8EJ;Orkin;becky2743;18409;11;67750391;3680;0;Sugarland;Zolarg Empire;Insectoids;0;2023-05-10 00:00:00;;4;123;279;854;104/-86;steam.windows;0;IAG8biVam6;1
