Charter;Name;Owner;Population;Unemployment;GDP;GDP per capita;rrr;Type;Civilization;Race;Capitol;Founded;Independence;Atmosphere stage;Mother colony relations;Xcoord;Ycoord;Sector;Platform;CW size;Mother Colony Charter;Region
02bqPy4N92;Ruben ;Ruben;27743;3;658116837;23722;0;Red Planet;United Earth;Human;0;2022-09-30 00:00:00;;4;123;407;-322;107/-22;web.apeappslauncher;0;hn4am2H4;1
03kfKssKT7;Morburg;zapnap09;61;76;0;0;0;Lava World;Zolarg Empire;Insectoids;0;2022-10-07 00:00:00;;4;100;336;-719;104/-86;android.gplay;0;v9gzpnxJ;0
04aQvfQucM;Hardcore ;Djbside;19;42;95116;5006;0;Forest World;United Earth;Human;0;2022-12-22 00:00:00;;3;123;497;471;51/-39;ios.appstore;0;6uHQ4QwvB8;1
04SiSDwq50;miminuar5;miminuar;1856003;14;496978804143221;267768319;0;Ice World;Zolarg Empire;Insectoids;1;2022-04-03 00:00:00;2022-04-10 00:00:00;4;123;-782;682;104/-86;android.apemarket;0;zolarg;1
06kLcBZLI5;Hard ass planet;crazycochon;2045;0;12983298;6349;0;Forest World;United Earth;Human;0;2022-02-19 00:00:00;;3;;-929;-35;55/-45;steam.windows;0;;1
06wwjf4wj9;First;zwforlife;41;4;108700;2651;0;Red Planet;United Earth;Human;0;2023-01-10 00:00:00;;0;123;485;-280;0/1;ios.appstore;0;hz22MAQlHN;0
07ChODyVof;Sla;S0RA;91512;13;19519281431;213298;0;Red Planet;United Earth;Human;1;2021-10-25 00:00:00;2021-11-19 00:00:00;4;;234;-461;-4/-88;steam.windows;0;;0
08wmki7UWJ;Vonda;Valek005;134;0;683296;5099;0;Earthlike;United Earth;Human;0;2023-01-14 00:00:00;;4;123;801;48;97/-8;android.gplay;0;6b3dbnNw;1
091yEEtf0E;sammy;svec12;495;0;2356655;4761;0;Earthlike;United Earth;Human;0;2022-11-23 00:00:00;;3;123;-781;-197;0/0;web.apewebapps;0;8J6fDuiX;0
0aPgyuLu;Sugar Nuisance;Wlof;11226;4;139028960;12385;0;Abandoned World;League of Independent States;Human;1;2018-03-06 00:00:00;2018-03-11 00:00:00;4;;-270;322;6/-79;android.gplay;0;;0
0B2ATeuh;Game over;Ravigulwan;59184;43;3790615410;64048;0;Earthlike;United Earth;Human;1;2022-09-23 00:00:00;2022-09-28 00:00:00;3;123;798;-251;-1/0;android.gplay;0;DFAR5qNb;0
0BceVlCqTU;SWDR;JBass50;1218;5;4190016;3440;0;Earthlike;United Earth;Human;0;2022-10-01 00:00:00;;3;121;900;-866;70/-46;ios.appstore;0;9qU3Nhyq;0
0CIwPONgiU;Funkanda;IronMonkey;2338;0;2936714;1256;0;Earthlike;United Earth;Human;0;2022-12-24 00:00:00;;3;123;563;-946;0/1;web.apewebapps;0;zmZZGD4dZS;0
0d5gRnBS;Main game;BallOfEnergy;8052;42;297765620;36980;0;Lunar;United Earth;Human;0;2022-07-05 00:00:00;;1;123;-383;-625;0/0;android.gplay;0;earth;1
0doz4Ly88F;Alagorr;Tarcand21;150501;0;4222725912;28058;0;Lunar;United Earth;Human;0;2022-10-25 00:00:00;;4;123;-211;-704;0/-86;android.gplay;0;pwJ9HE6E;1
0EQaPKNgI3;Lunaria;Casper;5266;0;82768805;15718;1;Lunar;United Earth;Human;1;2020-12-19 00:00:00;2022-12-29 00:00:00;3;123;336;114;0/0;android.gplay;0;earth;1
0f8FfTX6BQ;Trey;Xsicer;10;0;133230;13323;0;Red Planet;United Earth;Human;0;2023-01-20 00:00:00;;1;100;-649;-438;4/-91;steam.windows;0;exaf9IKgZ4;1
0FoaofB9ZP;Zentrum;Koska;1302;1;3732507;2867;0;Red Planet;United Earth;Human;0;2023-01-28 00:00:00;;0;123;-183;145;23/-28;steam.windows;0;UmlelU0qMp;1
0fQnggGXT6;I dont know;S0RA;174994;18;33338341169;190511;0;Red Planet;United Earth;Human;1;2018-09-06 00:00:00;2021-12-05 00:00:00;4;;-453;-335;95/11;steam.windows;0;;0
0GW6U6hG;PAsty;ferchador;287298;65;14466444306629;50353446;4;Sugarland;Zolarg Empire;Insectoids;1;2017-05-04 00:00:00;2017-05-12 00:00:00;3;100;94;872;104/-87;web.apewebapps;0;zolarg;0
0h3E0mzKFE;New Zolarg World;Rifa335;4;25;17900;4475;0;Sugarland;Zolarg Empire;Insectoids;0;2022-11-30 00:00:00;;3;100;22;-746;104/-86;steam.windows;0;JQKzmKuO;1
0HD0C18yaq;Mars Five;usbrit72;4045;37;5005414;1237;0;Red Planet;United Earth;Human;0;2022-11-28 00:00:00;;1;123;572;-419;0/1;web.apewebapps;0;uovgjkPi;0
0HIuAPxOcS;Adeptus Mechanicus Headquarters;CreatorPena;218;0;832152;3817;0;Red Planet;United Earth;Human;0;2022-10-14 00:00:00;;0;123;192;780;0/-1;web.apewebapps;0;Fur0ElE4ey;0
0hxPNzRADJ;New Strelitzia;xXD3omegaXx;2926937;0;3819758152437018;1305035999;2;Red Planet;United Earth;Human;1;2021-09-16 00:00:00;2021-09-20 00:00:00;4;;-438;-826;105/-65;android.gplay;0;;1
0hZgBkjn;Domination;bastecklein;1053971;25;986344390568;935836;10;Red Planet;United Earth;Human;1;2017-04-08 00:00:00;2017-04-19 00:00:00;4;;639;-61;75/-79;desktop.windows;0;;0
0iGeS2ZN;Moonville;Saracen72;6622;44;135367289;20442;0;Lunar;United Earth;Human;0;2022-09-19 00:00:00;;2;123;-845;943;0/-1;android.gplay;0;HpfsiKzr;1
0KkxPlAE8Y;Zorlag Mining Colony;Golan0;65;74;254658;3918;0;Abandoned World;Zolarg Empire;Insectoids;0;2022-10-21 00:00:00;;3;100;523;846;104/-86;android.gplay;0;uvszRUyA;0
0kpMx3iB;Aloxan2.0;Aloxan;9416;7;244159809;25930;1;Red Planet;United Earth;Human;1;2022-05-30 00:00:00;1970-01-01 00:00:00;4;123;-190;-853;0/1;web.apewebapps;0;earth;0
0KXhoSvmjh;Tourism;william10785;47;0;492;10;0;Red Planet;United Earth;Human;0;2022-10-01 00:00:00;;4;100;-562;-845;89/-39;steam.mac;0;yJbuP2PV;1
0LcXRfrydD;Hackhausen;Hobelpeter;8;28;0;0;0;Earthlike;United Earth;Human;0;2022-11-06 00:00:00;;3;100;440;-657;0/-86;android.gplay;0;SgXqoZQ8ZE;0
0mLu2FAZi3;Trash;Logfrog;19807;9;220563395;11136;0;Earthlike;United Earth;Human;1;2022-12-26 00:00:00;2022-12-30 00:00:00;3;123;-283;-896;0/1;ios.appstore;0;earth;0
0p4MrFeFpj;clover;greensleeves1;4509;0;13402841;2972;0;Red Planet;United Earth;Human;0;2023-01-09 00:00:00;;2;123;-582;-715;1/0;steam.windows;0;DyMiwE4N;1
