Charter;Name;Owner;Population;Unemployment;GDP;GDP per capita;rrr;Type;Civilization;Race;Capitol;Founded;Independence;Atmosphere stage;Mother colony relations;Xcoord;Ycoord;Sector;Platform;CW size;Mother Colony Charter;Region
kRvoUxaUz4;Nova Orban;Hibernia;345;7;1892970;5487;0;Red Planet;United Earth;Human;1;2023-01-09 00:00:00;2023-01-09 00:00:00;0;123;954;-690;0/0;web.apewebapps;0;O5i69DsjlZ;0
krXZDou6Td;Lagger2;Bengler9;16797390;6;264005612186779360;15717061531;18;Red Planet;United Earth;Human;1;2022-11-13 00:00:00;2022-11-26 00:00:00;4;123;-711;-328;0/1;ios.appstore;1;FkVlb8M80o;1
Ksx2suSinJ;Bug;GalacticAscenscion;56945;35;424898774891;7461564;1;Sugarland;Zolarg Empire;Insectoids;1;2021-12-24 00:00:00;2021-12-27 00:00:00;3;123;-943;496;105/-86;android.gplay;0;zolarg;0
kt95yr64qo;Dubno;thefir4ik;337;16;1780781;5284;0;Red Planet;United Earth;Human;1;2022-11-29 00:00:00;;0;113;-679;-820;11/-48;android.gplay;0;2BOvNE34;1
KTjKvCzwrc;Avalon;Titkay44;2141;0;2284298;1067;0;Red Planet;United Earth;Human;0;2022-12-27 00:00:00;;2;123;910;-765;0/0;android.gplay;0;earth;0
KtPJB8S33o;Mhm;VKarmaa;5;0;26891;5378;0;Earthlike;United Earth;Human;0;2022-12-25 00:00:00;;3;100;-227;-328;-1/1;android.gplay;0;WnmGXwW89i;0
KUe5gHbRYL;123;Mix;7;0;36787666;5255381;0;Desert World;Alpha Draconians;Reptilian;0;2023-02-26 00:00:00;;3;123;-801;-933;106/-87;android.gplay;0;draconian;0
KuiX4Rry;Generic region;Spartan305;13345;12;1215551523;91087;1;Ice World;League of Independent States;Human;1;2022-03-15 00:00:00;2022-07-27 00:00:00;3;123;277;14;-1/-2;ios.appstore;0;lis;1
KUQxBDuIOF;Hellenic Space Empire 2;vangxim;793;0;2125141;2680;0;Earthlike;United Earth;Human;0;2023-02-07 00:00:00;;3;123;25;19;0/0;web.apewebapps;0;hz22MAQlHN;0
KvkX3vsAI7;Lost;guiness13;27016;27;1381289037196;51128555;4;Abandoned World;Zolarg Empire;Insectoids;1;2023-02-15 00:00:00;2023-02-19 00:00:00;3;123;926;-761;104/-85;android.gplay;0;eoKZHi63;1
KvsYKdmOrX;Nezhmopolis;Nezhmetine;52;0;344878;6632;0;Earthlike;United Earth;Human;0;2023-02-17 00:00:00;;3;119;990;-160;-1/0;android.gplay;0;xB9F650tI8;0
